feature,importance_mean,importance_std
vehicle_age,859.2990741518827,73.54249971743353
year_num,717.7491532835351,67.04909120809153
mileage_num,655.5748647421927,54.0919326819823
make,534.6094238250856,69.14162755603527
mileage_per_year,246.36379391015635,58.48767191060507
mpg_avg,0.0,0.0
engine_liters,0.0,0.0
is_automatic,0.0,0.0
car_age_at_listing,0.0,0.0
is_clean_title,0.0,0.0
has_dealer,0.0,0.0
scrape_month,0.0,0.0
scrape_dow,0.0,0.0
posted_dow,0.0,0.0
posted_month,0.0,0.0
model,0.0,0.0
scrape_hour,-15.59632861292721,33.04907907164127
