feature,importance_mean,importance_std
year,1709.5312602189792,42.39210541307628
mileage,1265.2931946039157,78.45529486961908
model,993.170334574516,52.87066172576171
make,789.7894182501111,48.8104041424304
mileage_per_year,431.2918567242426,60.146659367139954
engine_cylinders,9.094947017729283e-14,1.8189894035458568e-13
engine_liters,0.0,0.0
days_since_posted,0.0,0.0
engine_cylinders_missing,0.0,0.0
engine_liters_missing,0.0,0.0
days_since_posted_missing,0.0,0.0
transmission,0.0,0.0
fuel,0.0,0.0
condition,0.0,0.0
body_type,0.0,0.0
state,0.0,0.0
