feature,importance_mean,importance_std
vehicle_age,806.016105664488,89.8774545236989
year_num,674.3960026455021,70.82002955263305
mileage_num,634.7837330635957,40.33400425860762
make,489.40263956323236,37.78273686338965
mileage_per_year,190.99698174084386,58.81277541454378
scrape_hour,6.365367932357731,16.96152126405506
is_automatic,1.1994226579512541,2.2715796613167343
mpg_highway_num,0.0,0.0
car_age_at_listing,0.0,0.0
location_zip_num,0.0,0.0
engine_liters,0.0,0.0
mpg_avg,0.0,0.0
is_clean_title,0.0,0.0
has_dealer,0.0,0.0
scrape_dow,0.0,0.0
mpg_city_num,0.0,0.0
scrape_month,0.0,0.0
posted_month,0.0,0.0
posted_dow,0.0,0.0
model,0.0,0.0
series,0.0,0.0
transmission,0.0,0.0
fuel,0.0,0.0
body_type,0.0,0.0
color,0.0,0.0
title_status,0.0,0.0
condition,0.0,0.0
drivetrain,0.0,0.0
engine,0.0,0.0
location_city,0.0,0.0
location_state,0.0,0.0
dealer_name,0.0,0.0
