feature,importance_mean,importance_std
year_num,2228.3994325747994,82.90454976417443
mileage_num,1419.3704251474926,70.15606607458969
make,434.93179277286106,93.21271724832647
model_base,370.27440407711765,21.753762305129474
mileage_per_year,287.270670617362,51.922564789581536
body_type,95.63730183312263,27.595165117240697
condition,68.55543262747551,16.807736771624974
engine_cylinders,54.70993847450463,20.41447797203079
days_since_posted,34.67103423935932,13.047794621259657
engine_liters,32.695148124736534,5.840696821697958
fuel,21.690342604298348,4.1957960137013135
location_state,10.377909292035383,13.90090795244785
engine_liters_missing,4.424220501474792,0.9735853789345139
engine_cylinders_missing,3.1652824483774564,1.67688880259788
days_since_posted_missing,0.0,0.0
transmission,-0.39677654867273304,0.2569183109318777
