feature,importance_mean,importance_std
year,2350.910447510823,102.75125511672204
mileage,1573.7670391865079,124.0307355106104
make,417.5996839375904,58.73983809010526
condition,367.15774467893243,24.537468643393524
model,348.84161828102486,49.28626053490454
mileage_per_year,309.1888443362195,19.29489900372113
engine_cylinders,127.68138014069291,9.337985526815402
body_type,121.00888045634929,31.814472184584034
engine_liters,53.68797366522394,10.683406926376422
days_since_posted,34.432546626984276,12.046457334125067
fuel,29.735639114358218,2.779482331236535
state,6.809201388889233,7.127236039440814
engine_cylinders_missing,3.256539141414214,0.4660412536474519
transmission,2.8616123737375347,0.7818893133962763
engine_liters_missing,0.7560126262628728,1.9929519227154033
days_since_posted_missing,0.0,0.0
