feature,importance_mean,importance_std
year,2441.9483059478544,102.26660015716152
mileage,1676.7334651457538,104.82269131045562
make,440.55211050757407,17.287494955531663
mileage_per_year,357.3929403856597,38.00518557714533
model,326.95076686885125,33.21464046857114
engine_cylinders,142.23980621944574,26.844514460379614
condition,74.52230065181921,11.01189268753269
engine_liters,64.59691965417315,5.457010174170406
body_type,59.2316968435026,13.091382396874245
fuel,36.588826996197625,11.437911817493273
engine_liters_missing,3.2388691834145904,0.9226192881058536
engine_cylinders_missing,2.800754119137946,0.8570919426708042
transmission,1.5441768060833057,0.3561288585671887
days_since_posted_missing,0.0,0.0
days_since_posted,-1.0987222373110854,8.147859520992764
state,-5.493418250950708,12.337981919347232
