feature,importance_mean,importance_std
vehicle_age,881.0007024577569,109.46925787264594
year_num,739.0115293906805,111.07699807166509
mileage_num,639.5597485407064,35.03652530657477
make,514.6218714541732,65.17598784877897
mileage_per_year,197.56521187916042,27.613057789308765
is_automatic,1.9461275985659086,2.7807519150827513
location_zip_num,0.0,0.0
mpg_highway_num,0.0,0.0
car_age_at_listing,0.0,0.0
mpg_avg,0.0,0.0
engine_liters,0.0,0.0
is_clean_title,0.0,0.0
has_dealer,0.0,0.0
scrape_dow,0.0,0.0
scrape_month,0.0,0.0
mpg_city_num,0.0,0.0
color,0.0,0.0
posted_month,0.0,0.0
posted_dow,0.0,0.0
model,0.0,0.0
series,0.0,0.0
transmission,0.0,0.0
fuel,0.0,0.0
body_type,0.0,0.0
engine,0.0,0.0
title_status,0.0,0.0
condition,0.0,0.0
drivetrain,0.0,0.0
location_state,0.0,0.0
location_city,0.0,0.0
dealer_name,0.0,0.0
scrape_hour,-24.55103479262707,17.298509922125962
