feature,importance_mean,importance_std
year_num,953.8005715998639,54.689902022020505
mileage_num,656.4582758650231,70.13647061090263
model_base,448.22739422747674,39.86939052412749
make,394.40848115793176,41.6365278116562
body_type,210.47739379924752,26.83821471127744
mileage_per_year,208.37504659129937,40.62652613998427
condition,189.5149248886615,16.29646270280201
engine_liters,105.29036973278616,14.935028010387525
engine_cylinders,35.192897139432354,9.116408667665477
fuel,24.585335046249746,8.611931016401995
days_since_posted,20.28038806098102,9.369070214934094
location_state,1.4006377183979566,0.5219811495699345
transmission,0.0,0.0
